GeoID,Geography,Time,Value,CI,Note,Indicator
3,Manhattan,2017,8.72,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2016,8.97,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2015,10.19,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2014,10.85,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2013,10.73,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2012,10.92,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2011,11.94,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2010,11.61,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
3,Manhattan,2009,12.63,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2022,5.6953,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2021,6.4779,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2020,6.06,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2019,6.47,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2018,6.82,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2017,7.19,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2016,7.17,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2015,8.35,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2014,8.6,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2013,8.36,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
4,Queens,2012,8.63,,,Fine particles (PM 2.5): Fine particles (PM 2.5) Mean (mcg/m3) by Borough
